type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12406:9b51a8,IQvia1:12406:336c66,Gender
bar,y2,x2,IQvia1:12406:3c6ef6,IQvia1:12406:0d7f4a,Age
bar,y3,x3,IQvia1:12406:8fc407,IQvia1:12406:d6d009,STOMATOLOGICAL PREPARATIONS
bar,y4,x4,IQvia1:12406:dd753f,IQvia1:12406:d6d009,DRUGS FOR ACID RELATED DISORDERS
bar,y5,x5,IQvia1:12406:e569e2,IQvia1:12406:d6d009,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y6,x6,IQvia1:12406:c6be03,IQvia1:12406:d6d009,ANTIHYPERTENSIVES
bar,y7,x7,IQvia1:12406:a8dfe0,IQvia1:12406:d6d009,ANTIEMETICS AND ANTINAUSEANTS
bar,y8,x8,IQvia1:12406:ee5980,IQvia1:12406:d6d009,DRUGS FOR CONSTIPATION
bar,y9,x9,IQvia1:12406:dff5c2,IQvia1:12406:d6d009,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y10,x10,IQvia1:12406:65f8c4,IQvia1:12406:d6d009,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
