ysrc,xsrc,name
jose.maria.merchan:20:ee5c36,jose.maria.merchan:20:e4fd76,total_calls
jose.maria.merchan:20:48c9c0,jose.maria.merchan:20:e4fd76,total_coSpace
jose.maria.merchan:20:ca3240,jose.maria.merchan:20:e4fd76,total_Dual-Home
jose.maria.merchan:20:d38d6b,jose.maria.merchan:20:e4fd76,total_adHoc
jose.maria.merchan:20:946d37,jose.maria.merchan:20:e4fd76,total_active_conferences
jose.maria.merchan:20:bb54d8,jose.maria.merchan:20:e4fd76,total_Participants_Conference
jose.maria.merchan:20:1c542e,jose.maria.merchan:20:e4fd76,cmsc1.customer.com_Calls
jose.maria.merchan:20:039781,jose.maria.merchan:20:e4fd76,cmsc1.customer.com_coSpace
jose.maria.merchan:20:b20310,jose.maria.merchan:20:e4fd76,cmsc1.customer.com_Dual-Home
jose.maria.merchan:20:d38d6b,jose.maria.merchan:20:e4fd76,cmsc1.customer.com_adHoc
jose.maria.merchan:20:b5208b,jose.maria.merchan:20:e4fd76,cmsc2.customer.com_Calls
jose.maria.merchan:20:84a73c,jose.maria.merchan:20:e4fd76,cmsc2.customer.com_coSpace
jose.maria.merchan:20:e73421,jose.maria.merchan:20:e4fd76,cmsc2.customer.com_Dual-Home
jose.maria.merchan:20:d38d6b,jose.maria.merchan:20:e4fd76,cmsc2.customer.com_adHoc
jose.maria.merchan:20:669af0,jose.maria.merchan:20:e4fd76,cmsc3.customer.com_Calls
jose.maria.merchan:20:b4f6f8,jose.maria.merchan:20:e4fd76,cmsc3.customer.com_coSpace
jose.maria.merchan:20:85922f,jose.maria.merchan:20:e4fd76,cmsc3.customer.com_Dual-Home
jose.maria.merchan:20:d38d6b,jose.maria.merchan:20:e4fd76,cmsc3.customer.com_adHoc
jose.maria.merchan:20:41acee,jose.maria.merchan:20:e4fd76,cmsc4.customer.com_Calls
jose.maria.merchan:20:d8b2b2,jose.maria.merchan:20:e4fd76,cmsc4.customer.com_coSpace
jose.maria.merchan:20:49c9c6,jose.maria.merchan:20:e4fd76,cmsc4.customer.com_Dual-Home
jose.maria.merchan:20:d38d6b,jose.maria.merchan:20:e4fd76,cmsc4.customer.com_adHoc
