type,yaxis,xaxis,ysrc,line.width,xsrc,line.dash,mode,line.color,name
scatter,y1,x1,erasmocf.ufrgs:165:8291ab,1.5,erasmocf.ufrgs:165:a5b6b7,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y1,x1,erasmocf.ufrgs:165:42a3ed,1.5,erasmocf.ufrgs:165:a5b6b7,solid,lines,"rgba (255, 127, 14, 1)",MA180
scatter,y1,x1,erasmocf.ufrgs:165:43bbab,1.5,erasmocf.ufrgs:165:a5b6b7,solid,lines,"rgba (44, 160, 44, 1)",MA90
scatter,y1,x1,erasmocf.ufrgs:165:63c23a,1.5,erasmocf.ufrgs:165:a5b6b7,solid,lines,"rgba (214, 39, 40, 1)",MA30
scatter,y1,x1,erasmocf.ufrgs:165:5e4bee,1.5,erasmocf.ufrgs:165:a5b6b7,solid,lines,"rgba (148, 103, 189, 1)",MA15
scatter,y1,x1,erasmocf.ufrgs:165:1dc5ec,1.5,erasmocf.ufrgs:165:a5b6b7,solid,lines,"rgba (140, 86, 75, 1)",MA7
scatter,y1,x1,erasmocf.ufrgs:165:edf3a5,1.5,erasmocf.ufrgs:165:a5b6b7,solid,lines,"rgba (227, 119, 194, 1)",MA1
scatter,y2,x1,erasmocf.ufrgs:165:b75365,1.5,erasmocf.ufrgs:165:a5b6b7,solid,lines,"rgba (31, 119, 180, 1)",log_MA1/7
scatter,y2,x1,erasmocf.ufrgs:165:38ded3,1.5,erasmocf.ufrgs:165:a5b6b7,solid,lines,"rgba (255, 127, 14, 1)",log_MA7/15
scatter,y2,x1,erasmocf.ufrgs:165:8493ef,1.5,erasmocf.ufrgs:165:a5b6b7,solid,lines,"rgba (44, 160, 44, 1)",log_MA15/30
