type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:11978:60e777,IQvia1:11978:9272a5,Gender
bar,y3,x3,IQvia1:11978:ddf94f,IQvia1:11978:ce16ed,Age
bar,y5,x5,IQvia1:11978:6de189,IQvia1:11978:302004,STOMATOLOGICAL PREPARATIONS
bar,y7,x7,IQvia1:11978:984a55,IQvia1:11978:302004,DRUGS FOR ACID RELATED DISORDERS
bar,y9,x9,IQvia1:11978:219c77,IQvia1:11978:302004,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y11,x11,IQvia1:11978:243f58,IQvia1:11978:302004,ANTIHYPERTENSIVES
bar,y13,x13,IQvia1:11978:b14b5a,IQvia1:11978:302004,ANTIEMETICS AND ANTINAUSEANTS
bar,y15,x15,IQvia1:11978:194261,IQvia1:11978:302004,DRUGS FOR CONSTIPATION
bar,y17,x17,IQvia1:11978:2f8cd4,IQvia1:11978:302004,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y19,x19,IQvia1:11978:5e2da9,IQvia1:11978:302004,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
bar,y2,x2,IQvia1:11978:60e777,IQvia1:11978:302004,Gender
bar,y4,x4,IQvia1:11978:ddf94f,IQvia1:11978:ce16ed,Age
bar,y6,x6,IQvia1:11978:6de189,IQvia1:11978:302004,STOMATOLOGICAL PREPARATIONS
bar,y8,x8,IQvia1:11978:984a55,IQvia1:11978:302004,DRUGS FOR ACID RELATED DISORDERS
bar,y10,x10,IQvia1:11978:219c77,IQvia1:11978:302004,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y12,x12,IQvia1:11978:243f58,IQvia1:11978:302004,ANTIHYPERTENSIVES
bar,y14,x14,IQvia1:11978:b14b5a,IQvia1:11978:302004,ANTIEMETICS AND ANTINAUSEANTS
bar,y16,x16,IQvia1:11978:194261,IQvia1:11978:302004,DRUGS FOR CONSTIPATION
bar,y18,x18,IQvia1:11978:2f8cd4,IQvia1:11978:302004,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y20,x20,IQvia1:11978:5e2da9,IQvia1:11978:302004,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
