line.color,type,marker.color,uid,ysrc,marker.line.color,fillcolor,xsrc,showlegend,name
,box,"rgb(31, 119, 180)",,adioses:74:934397,,"rgb(255,255,255)",,False,11/01/18
,box,"rgb(31, 119, 180)",,adioses:74:00ab27,,"rgb(255,255,255)",,False,12/01/18
,box,"rgb(31, 119, 180)",,adioses:74:43b6b1,,"rgb(255,255,255)",,False,13/01/18
,box,"rgb(31, 119, 180)",,adioses:74:0fb779,,"rgb(255,255,255)",,False,14/01/18
,box,"rgb(31, 119, 180)",,adioses:74:d67211,,"rgb(255,255,255)",,False,15/01/18
,box,"rgb(31, 119, 180)",,adioses:74:383103,,"rgb(255,255,255)",,False,16/01/18
,box,"rgb(31, 119, 180)",,adioses:74:da63bd,,"rgb(255,255,255)",,False,17/01/18
,box,"rgb(31, 119, 180)",,adioses:74:201ba5,,"rgb(255,255,255)",,False,18/01/18
,box,"rgb(31, 119, 180)",,adioses:74:edbc5f,,"rgb(255,255,255)",,False,19/01/18
,box,"rgb(31, 119, 180)",,adioses:74:d4246e,,"rgb(255,255,255)",,False,20/01/18
,box,"rgb(31, 119, 180)",,adioses:74:dea688,,"rgb(255,255,255)",,False,21/01/18
"rgb(31, 119, 180)",scatter,,0077fc,adioses:74:e6ae50,"rgb(31, 119, 180)",,adioses:74:4fd652,,Ultima Corrida
