line.color,type,marker.color,uid,ysrc,marker.line.color,fillcolor,xsrc,showlegend,name
,box,"rgb(31, 119, 180)",,adioses:113:f59fd6,,"rgb(255,255,255)",,False,11/01/18
,box,"rgb(31, 119, 180)",,adioses:113:546b99,,"rgb(255,255,255)",,False,12/01/18
,box,"rgb(31, 119, 180)",,adioses:113:79ef15,,"rgb(255,255,255)",,False,13/01/18
,box,"rgb(31, 119, 180)",,adioses:113:5c6dfe,,"rgb(255,255,255)",,False,14/01/18
,box,"rgb(31, 119, 180)",,adioses:113:6bbe8d,,"rgb(255,255,255)",,False,15/01/18
,box,"rgb(31, 119, 180)",,adioses:113:b4d9d8,,"rgb(255,255,255)",,False,16/01/18
,box,"rgb(31, 119, 180)",,adioses:113:0a8883,,"rgb(255,255,255)",,False,17/01/18
,box,"rgb(31, 119, 180)",,adioses:113:3b3de0,,"rgb(255,255,255)",,False,18/01/18
,box,"rgb(31, 119, 180)",,adioses:113:bb658c,,"rgb(255,255,255)",,False,19/01/18
,box,"rgb(31, 119, 180)",,adioses:113:7194c6,,"rgb(255,255,255)",,False,20/01/18
,box,"rgb(31, 119, 180)",,adioses:113:e069d6,,"rgb(255,255,255)",,False,21/01/18
"rgb(31, 119, 180)",scatter,,0077fc,adioses:113:3190a7,"rgb(31, 119, 180)",,adioses:113:a16a9d,,Ultima Corrida
