type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12098:84a864,IQvia1:12098:a25820,Gender
bar,y2,x2,IQvia1:12098:fd89a3,IQvia1:12098:e39e22,Age
bar,y3,x3,IQvia1:12098:927481,IQvia1:12098:175777,STOMATOLOGICAL PREPARATIONS
bar,y4,x4,IQvia1:12098:191c14,IQvia1:12098:175777,DRUGS FOR ACID RELATED DISORDERS
bar,y5,x5,IQvia1:12098:ee0c89,IQvia1:12098:175777,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y6,x6,IQvia1:12098:27c152,IQvia1:12098:175777,ANTIHYPERTENSIVES
bar,y7,x7,IQvia1:12098:7c0664,IQvia1:12098:175777,ANTIEMETICS AND ANTINAUSEANTS
bar,y8,x8,IQvia1:12098:af23b4,IQvia1:12098:175777,DRUGS FOR CONSTIPATION
bar,y9,x9,IQvia1:12098:2dfd5e,IQvia1:12098:175777,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y10,x10,IQvia1:12098:2bfedd,IQvia1:12098:175777,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
