type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12428:3dfafe,IQvia1:12428:8c422c,GENDER
bar,y3,x3,IQvia1:12428:66357a,IQvia1:12428:316b22,AGEGROUP
bar,y5,x5,IQvia1:12428:a68270,IQvia1:12428:6e53b5,TUMOUR NECROSIS FACTOR PRODUCTS
bar,y7,x7,IQvia1:12428:cca03c,IQvia1:12428:961841,INTESTINAL OBSTRUCTION
bar,y9,x9,IQvia1:12428:aeb816,IQvia1:12428:6e53b5,HEPATITIS BC
bar,y11,x11,IQvia1:12428:6cc278,IQvia1:12428:6e53b5,TUBERCULOSIS
bar,y13,x13,IQvia1:12428:d8de81,IQvia1:12428:6e53b5,TACROLIMUS
bar,y15,x15,IQvia1:12428:9c5967,IQvia1:12428:6e53b5,AZATHIOPRINE
bar,y17,x17,IQvia1:12428:98ded2,IQvia1:12428:6e53b5,COLOSTOMY / ILEOSTOMY
bar,y2,x2,IQvia1:12428:3dfafe,IQvia1:12428:8c422c,GENDER
bar,y4,x4,IQvia1:12428:66357a,IQvia1:12428:316b22,AGEGROUP
bar,y6,x6,IQvia1:12428:a68270,IQvia1:12428:6e53b5,TUMOUR NECROSIS FACTOR PRODUCTS
bar,y8,x8,IQvia1:12428:cca03c,IQvia1:12428:961841,INTESTINAL OBSTRUCTION
bar,y10,x10,IQvia1:12428:aeb816,IQvia1:12428:6e53b5,HEPATITIS BC
bar,y12,x12,IQvia1:12428:6cc278,IQvia1:12428:6e53b5,TUBERCULOSIS
bar,y14,x14,IQvia1:12428:d8de81,IQvia1:12428:6e53b5,TACROLIMUS
bar,y16,x16,IQvia1:12428:9c5967,IQvia1:12428:6e53b5,AZATHIOPRINE
bar,y18,x18,IQvia1:12428:98ded2,IQvia1:12428:6e53b5,COLOSTOMY / ILEOSTOMY
