type,yaxis,xaxis,ysrc,line.width,xsrc,line.dash,mode,line.color,name
scatter,y1,x1,erasmocf.ufrgs:127:8e93b9,1.5,erasmocf.ufrgs:127:752bf8,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y1,x1,erasmocf.ufrgs:127:c9df00,1.5,erasmocf.ufrgs:127:752bf8,solid,lines,"rgba (255, 127, 14, 1)",MA180
scatter,y1,x1,erasmocf.ufrgs:127:f1fce0,1.5,erasmocf.ufrgs:127:752bf8,solid,lines,"rgba (44, 160, 44, 1)",MA90
scatter,y1,x1,erasmocf.ufrgs:127:f1c4d3,1.5,erasmocf.ufrgs:127:752bf8,solid,lines,"rgba (214, 39, 40, 1)",MA30
scatter,y1,x1,erasmocf.ufrgs:127:b36514,1.5,erasmocf.ufrgs:127:752bf8,solid,lines,"rgba (148, 103, 189, 1)",MA15
scatter,y1,x1,erasmocf.ufrgs:127:81d23a,1.5,erasmocf.ufrgs:127:752bf8,solid,lines,"rgba (140, 86, 75, 1)",MA7
scatter,y1,x1,erasmocf.ufrgs:127:15cc66,1.5,erasmocf.ufrgs:127:752bf8,solid,lines,"rgba (227, 119, 194, 1)",MA1
scatter,y2,x1,erasmocf.ufrgs:127:f41baf,1.5,erasmocf.ufrgs:127:752bf8,solid,lines,"rgba (31, 119, 180, 1)",log_MA1/7
scatter,y2,x1,erasmocf.ufrgs:127:0d359a,1.5,erasmocf.ufrgs:127:752bf8,solid,lines,"rgba (255, 127, 14, 1)",log_MA7/15
scatter,y2,x1,erasmocf.ufrgs:127:b694d0,1.5,erasmocf.ufrgs:127:752bf8,solid,lines,"rgba (44, 160, 44, 1)",log_MA15/30
scatter,y3,x1,erasmocf.ufrgs:127:06eb25,1.5,erasmocf.ufrgs:127:01dd4c,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y3,x1,erasmocf.ufrgs:127:7c4eb2,1.5,erasmocf.ufrgs:127:01dd4c,solid,lines,"rgba (255, 127, 14, 1)",MA30
scatter,y3,x1,erasmocf.ufrgs:127:5652cc,1.5,erasmocf.ufrgs:127:01dd4c,solid,lines,"rgba (44, 160, 44, 1)",MA15
scatter,y3,x1,erasmocf.ufrgs:127:d5e1b1,1.5,erasmocf.ufrgs:127:01dd4c,solid,lines,"rgba (214, 39, 40, 1)",MA7
scatter,y3,x1,erasmocf.ufrgs:127:410817,1.5,erasmocf.ufrgs:127:01dd4c,solid,lines,"rgba (148, 103, 189, 1)",MA1
