type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12000:30bb4b,IQvia1:12000:8c1eec,Gender
bar,y2,x2,IQvia1:12000:e2a7ee,IQvia1:12000:b278ad,Age
bar,y3,x3,IQvia1:12000:8f6ec2,IQvia1:12000:417f3c,STOMATOLOGICAL PREPARATIONS
bar,y4,x4,IQvia1:12000:102ceb,IQvia1:12000:417f3c,DRUGS FOR ACID RELATED DISORDERS
bar,y5,x5,IQvia1:12000:7229a9,IQvia1:12000:417f3c,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y6,x6,IQvia1:12000:c6d938,IQvia1:12000:417f3c,ANTIHYPERTENSIVES
bar,y7,x7,IQvia1:12000:8e79fb,IQvia1:12000:417f3c,ANTIEMETICS AND ANTINAUSEANTS
bar,y8,x8,IQvia1:12000:c61e46,IQvia1:12000:417f3c,DRUGS FOR CONSTIPATION
bar,y9,x9,IQvia1:12000:8ce193,IQvia1:12000:417f3c,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y10,x10,IQvia1:12000:85f1df,IQvia1:12000:417f3c,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
