type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12458:8579ec,IQvia1:12458:2dee7e,GENDER
bar,y3,x3,IQvia1:12458:1c3779,IQvia1:12458:688920,AGEGROUP
bar,y5,x5,IQvia1:12458:cc767c,IQvia1:12458:b5ad28,HEPATITIS BC
bar,y7,x7,IQvia1:12458:8875f1,IQvia1:12458:b5ad28,TUBERCULOSIS
bar,y9,x9,IQvia1:12458:210f7d,IQvia1:12458:b5ad28,HIV
bar,y11,x11,IQvia1:12458:6dab01,IQvia1:12458:b5ad28,TACROLIMUS
bar,y13,x13,IQvia1:12458:61bc14,IQvia1:12458:b5ad28,AZATHIOPRINE
bar,y15,x15,IQvia1:12458:672662,IQvia1:12458:b5ad28,TUMOUR NECROSIS FACTOR PRODUCTS
bar,y2,x2,IQvia1:12458:8579ec,IQvia1:12458:2dee7e,GENDER
bar,y4,x4,IQvia1:12458:1c3779,IQvia1:12458:688920,AGEGROUP
bar,y6,x6,IQvia1:12458:cc767c,IQvia1:12458:b5ad28,HEPATITIS BC
bar,y8,x8,IQvia1:12458:8875f1,IQvia1:12458:b5ad28,TUBERCULOSIS
bar,y10,x10,IQvia1:12458:210f7d,IQvia1:12458:b5ad28,HIV
bar,y12,x12,IQvia1:12458:6dab01,IQvia1:12458:b5ad28,TACROLIMUS
bar,y14,x14,IQvia1:12458:61bc14,IQvia1:12458:b5ad28,AZATHIOPRINE
bar,y16,x16,IQvia1:12458:672662,IQvia1:12458:b5ad28,TUMOUR NECROSIS FACTOR PRODUCTS
