line.color,type,marker.color,uid,ysrc,marker.line.color,fillcolor,xsrc,showlegend,name
,box,"rgb(31, 119, 180)",,adioses:84:91651c,,"rgb(255,255,255)",,False,11/01/18
,box,"rgb(31, 119, 180)",,adioses:84:9637b2,,"rgb(255,255,255)",,False,12/01/18
,box,"rgb(31, 119, 180)",,adioses:84:3e1853,,"rgb(255,255,255)",,False,13/01/18
,box,"rgb(31, 119, 180)",,adioses:84:06d391,,"rgb(255,255,255)",,False,14/01/18
,box,"rgb(31, 119, 180)",,adioses:84:8ccc94,,"rgb(255,255,255)",,False,15/01/18
,box,"rgb(31, 119, 180)",,adioses:84:81cb92,,"rgb(255,255,255)",,False,16/01/18
,box,"rgb(31, 119, 180)",,adioses:84:a55d8d,,"rgb(255,255,255)",,False,17/01/18
,box,"rgb(31, 119, 180)",,adioses:84:4635b0,,"rgb(255,255,255)",,False,18/01/18
,box,"rgb(31, 119, 180)",,adioses:84:a7ef9a,,"rgb(255,255,255)",,False,19/01/18
,box,"rgb(31, 119, 180)",,adioses:84:f94f4c,,"rgb(255,255,255)",,False,20/01/18
,box,"rgb(31, 119, 180)",,adioses:84:848ccf,,"rgb(255,255,255)",,False,21/01/18
"rgb(31, 119, 180)",scatter,,0077fc,adioses:84:45098e,"rgb(31, 119, 180)",,adioses:84:d9463f,,Ultima Corrida
