type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12006:1e5743,IQvia1:12006:896e15,Gender
bar,y3,x3,IQvia1:12006:ee176b,IQvia1:12006:4f347d,Age
bar,y5,x5,IQvia1:12006:84d88d,IQvia1:12006:c9a865,STOMATOLOGICAL PREPARATIONS
bar,y7,x7,IQvia1:12006:a68d7d,IQvia1:12006:c9a865,DRUGS FOR ACID RELATED DISORDERS
bar,y9,x9,IQvia1:12006:f2e379,IQvia1:12006:c9a865,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y11,x11,IQvia1:12006:68088d,IQvia1:12006:c9a865,ANTIHYPERTENSIVES
bar,y13,x13,IQvia1:12006:471616,IQvia1:12006:c9a865,ANTIEMETICS AND ANTINAUSEANTS
bar,y15,x15,IQvia1:12006:125881,IQvia1:12006:c9a865,DRUGS FOR CONSTIPATION
bar,y17,x17,IQvia1:12006:1b0e95,IQvia1:12006:c9a865,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y19,x19,IQvia1:12006:8830db,IQvia1:12006:c9a865,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
bar,y2,x2,IQvia1:12006:1e5743,IQvia1:12006:c9a865,Gender
bar,y4,x4,IQvia1:12006:ee176b,IQvia1:12006:4f347d,Age
bar,y6,x6,IQvia1:12006:84d88d,IQvia1:12006:c9a865,STOMATOLOGICAL PREPARATIONS
bar,y8,x8,IQvia1:12006:a68d7d,IQvia1:12006:c9a865,DRUGS FOR ACID RELATED DISORDERS
bar,y10,x10,IQvia1:12006:f2e379,IQvia1:12006:c9a865,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y12,x12,IQvia1:12006:68088d,IQvia1:12006:c9a865,ANTIHYPERTENSIVES
bar,y14,x14,IQvia1:12006:471616,IQvia1:12006:c9a865,ANTIEMETICS AND ANTINAUSEANTS
bar,y16,x16,IQvia1:12006:125881,IQvia1:12006:c9a865,DRUGS FOR CONSTIPATION
bar,y18,x18,IQvia1:12006:1b0e95,IQvia1:12006:c9a865,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y20,x20,IQvia1:12006:8830db,IQvia1:12006:c9a865,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
