type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12436:0b561e,IQvia1:12436:eebd95,GENDER
bar,y3,x3,IQvia1:12436:73df1a,IQvia1:12436:0ae7ce,AGEGROUP
bar,y5,x5,IQvia1:12436:89e426,IQvia1:12436:2cdb8f,TUMOUR NECROSIS FACTOR PRODUCTS
bar,y7,x7,IQvia1:12436:9af114,IQvia1:12436:80d1db,INTESTINAL OBSTRUCTION
bar,y9,x9,IQvia1:12436:dafc5e,IQvia1:12436:2cdb8f,HEPATITIS BC
bar,y11,x11,IQvia1:12436:b22ce0,IQvia1:12436:2cdb8f,TUBERCULOSIS
bar,y13,x13,IQvia1:12436:c54a61,IQvia1:12436:2cdb8f,TACROLIMUS
bar,y15,x15,IQvia1:12436:ed6159,IQvia1:12436:2cdb8f,AZATHIOPRINE
bar,y17,x17,IQvia1:12436:c39b30,IQvia1:12436:2cdb8f,COLOSTOMY / ILEOSTOMY
bar,y2,x2,IQvia1:12436:0b561e,IQvia1:12436:2e93ef,GENDER
bar,y4,x4,IQvia1:12436:73df1a,IQvia1:12436:87d546,AGEGROUP
bar,y6,x6,IQvia1:12436:89e426,IQvia1:12436:2cdb8f,TUMOUR NECROSIS FACTOR PRODUCTS
bar,y8,x8,IQvia1:12436:9af114,IQvia1:12436:80d1db,INTESTINAL OBSTRUCTION
bar,y10,x10,IQvia1:12436:dafc5e,IQvia1:12436:2cdb8f,HEPATITIS BC
bar,y12,x12,IQvia1:12436:b22ce0,IQvia1:12436:2cdb8f,TUBERCULOSIS
bar,y14,x14,IQvia1:12436:c54a61,IQvia1:12436:2cdb8f,TACROLIMUS
bar,y16,x16,IQvia1:12436:ed6159,IQvia1:12436:2cdb8f,AZATHIOPRINE
bar,y18,x18,IQvia1:12436:c39b30,IQvia1:12436:2cdb8f,COLOSTOMY / ILEOSTOMY
