type,yaxis,xaxis,ysrc,line.width,xsrc,line.dash,mode,line.color,name
scatter,y1,x1,erasmocf.ufrgs:112:098c8f,1.5,erasmocf.ufrgs:112:6ef370,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y1,x1,erasmocf.ufrgs:112:dc9e63,1.5,erasmocf.ufrgs:112:6ef370,solid,lines,"rgba (255, 127, 14, 1)",MA180
scatter,y1,x1,erasmocf.ufrgs:112:aecc63,1.5,erasmocf.ufrgs:112:6ef370,solid,lines,"rgba (44, 160, 44, 1)",MA90
scatter,y1,x1,erasmocf.ufrgs:112:ffdcf3,1.5,erasmocf.ufrgs:112:6ef370,solid,lines,"rgba (214, 39, 40, 1)",MA30
scatter,y1,x1,erasmocf.ufrgs:112:bfd00d,1.5,erasmocf.ufrgs:112:6ef370,solid,lines,"rgba (148, 103, 189, 1)",MA15
scatter,y1,x1,erasmocf.ufrgs:112:f4b3ca,1.5,erasmocf.ufrgs:112:6ef370,solid,lines,"rgba (140, 86, 75, 1)",MA7
scatter,y1,x1,erasmocf.ufrgs:112:536316,1.5,erasmocf.ufrgs:112:6ef370,solid,lines,"rgba (227, 119, 194, 1)",MA1
scatter,y2,x1,erasmocf.ufrgs:112:2a5d67,1.5,erasmocf.ufrgs:112:6ef370,solid,lines,"rgba (31, 119, 180, 1)",log_MA1/7
scatter,y2,x1,erasmocf.ufrgs:112:d8151f,1.5,erasmocf.ufrgs:112:6ef370,solid,lines,"rgba (255, 127, 14, 1)",log_MA7/15
scatter,y2,x1,erasmocf.ufrgs:112:6a2637,1.5,erasmocf.ufrgs:112:6ef370,solid,lines,"rgba (44, 160, 44, 1)",log_MA15/30
scatter,y3,x1,erasmocf.ufrgs:112:768bb7,1.5,erasmocf.ufrgs:112:b3aa54,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y3,x1,erasmocf.ufrgs:112:214339,1.5,erasmocf.ufrgs:112:b3aa54,solid,lines,"rgba (255, 127, 14, 1)",MA30
scatter,y3,x1,erasmocf.ufrgs:112:6c351c,1.5,erasmocf.ufrgs:112:b3aa54,solid,lines,"rgba (44, 160, 44, 1)",MA15
scatter,y3,x1,erasmocf.ufrgs:112:71c10a,1.5,erasmocf.ufrgs:112:b3aa54,solid,lines,"rgba (214, 39, 40, 1)",MA7
scatter,y3,x1,erasmocf.ufrgs:112:6840ff,1.5,erasmocf.ufrgs:112:b3aa54,solid,lines,"rgba (148, 103, 189, 1)",MA1
