marker.size,type,ysrc,jitter,boxpoints,name,pointpos
2,box,ALvinYu:502:bdf03d,0.3,all,83~99  8,-1.8
2,box,ALvinYu:502:0e3e1a,0.3,all,215以下  19,-1.8
2,box,ALvinYu:502:c7e2d9,0.3,all,220~247  3,-1.8
2,box,ALvinYu:502:85bb84,0.3,all,557~597  52,-1.8
2,box,ALvinYu:502:848377,0.3,all,860~990  19,-1.8
2,box,ALvinYu:502:0edbd4,0.3,all,國小以下  87,-1.8
2,box,ALvinYu:502:01d6e4,0.3,all,中級  128,-1.8
2,box,ALvinYu:502:4fa5c6,0.3,all,600~677  2,-1.8
2,box,ALvinYu:502:e9c8c4,0.3,all,優級  1,-1.8
2,box,ALvinYu:502:f46e8d,0.3,all,100~170  1,-1.8
2,box,ALvinYu:502:9bc21f,0.3,all,173~217  2,-1.8
2,box,ALvinYu:502:f146bc,0.3,all,220~465  260,-1.8
2,box,ALvinYu:502:fd8e6f,0.3,all,3.5以下  3,-1.8
2,box,ALvinYu:502:485d3d,0.3,all,33~60  6,-1.8
2,box,ALvinYu:502:5d2736,0.3,all,403以下  10,-1.8
2,box,ALvinYu:502:56cefe,0.3,all,407~497  110,-1.8
2,box,ALvinYu:502:0dec0c,0.3,all,470~725  450,-1.8
2,box,ALvinYu:502:22916a,0.3,all,4~5.5  12,-1.8
2,box,ALvinYu:502:82c83d,0.3,all,500~553  188,-1.8
2,box,ALvinYu:502:9d3e44,0.3,all,6~7  21,-1.8
2,box,ALvinYu:502:7b94bb,0.3,all,730~855  108,-1.8
2,box,ALvinYu:502:3670c2,0.3,all,中高級  37,-1.8
2,box,ALvinYu:502:2001d0,0.3,all,初級  219,-1.8
2,box,ALvinYu:502:5a2de4,0.3,all,國中  162,-1.8
2,box,ALvinYu:502:434962,0.3,all,大學  1273,-1.8
2,box,ALvinYu:502:4a5109,0.3,all,研究所以上  540,-1.8
2,box,ALvinYu:502:98c468,0.3,all,高中  301,-1.8
2,box,ALvinYu:502:f46e8d,0.3,all,高級  1,-1.8
2,box,ALvinYu:502:feced8,0.3,all,61~82  2,-1.8
2,box,ALvinYu:502:a0c890,0.3,all,7.5~8.5  3,-1.8
2,box,ALvinYu:502:e70707,0.3,all,8.5以上  2,-1.8
