type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12106:6983e9,IQvia1:12106:d592e7,Gender
bar,y3,x3,IQvia1:12106:f2649f,IQvia1:12106:608f83,Age
bar,y5,x5,IQvia1:12106:962f1b,IQvia1:12106:3fb262,STOMATOLOGICAL PREPARATIONS
bar,y7,x7,IQvia1:12106:645728,IQvia1:12106:3fb262,DRUGS FOR ACID RELATED DISORDERS
bar,y9,x9,IQvia1:12106:468ebb,IQvia1:12106:3fb262,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y11,x11,IQvia1:12106:71f4a6,IQvia1:12106:3fb262,ANTIHYPERTENSIVES
bar,y13,x13,IQvia1:12106:e38b57,IQvia1:12106:3fb262,ANTIEMETICS AND ANTINAUSEANTS
bar,y15,x15,IQvia1:12106:7cd069,IQvia1:12106:3fb262,DRUGS FOR CONSTIPATION
bar,y17,x17,IQvia1:12106:51d881,IQvia1:12106:3fb262,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y19,x19,IQvia1:12106:e86081,IQvia1:12106:3fb262,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
bar,y2,x2,IQvia1:12106:6983e9,IQvia1:12106:3fb262,Gender
bar,y4,x4,IQvia1:12106:f2649f,IQvia1:12106:608f83,Age
bar,y6,x6,IQvia1:12106:962f1b,IQvia1:12106:3fb262,STOMATOLOGICAL PREPARATIONS
bar,y8,x8,IQvia1:12106:645728,IQvia1:12106:3fb262,DRUGS FOR ACID RELATED DISORDERS
bar,y10,x10,IQvia1:12106:468ebb,IQvia1:12106:3fb262,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y12,x12,IQvia1:12106:71f4a6,IQvia1:12106:3fb262,ANTIHYPERTENSIVES
bar,y14,x14,IQvia1:12106:e38b57,IQvia1:12106:3fb262,ANTIEMETICS AND ANTINAUSEANTS
bar,y16,x16,IQvia1:12106:7cd069,IQvia1:12106:3fb262,DRUGS FOR CONSTIPATION
bar,y18,x18,IQvia1:12106:51d881,IQvia1:12106:3fb262,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y20,x20,IQvia1:12106:e86081,IQvia1:12106:3fb262,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
