type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:11976:487fc2,IQvia1:11976:d5da23,Gender
bar,y3,x3,IQvia1:11976:ec004e,IQvia1:11976:78b06e,Age
bar,y5,x5,IQvia1:11976:057206,IQvia1:11976:c19845,STOMATOLOGICAL PREPARATIONS
bar,y7,x7,IQvia1:11976:39f6a2,IQvia1:11976:c19845,DRUGS FOR ACID RELATED DISORDERS
bar,y9,x9,IQvia1:11976:1ba6dd,IQvia1:11976:c19845,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y11,x11,IQvia1:11976:c7dd04,IQvia1:11976:c19845,ANTIHYPERTENSIVES
bar,y13,x13,IQvia1:11976:ed5498,IQvia1:11976:c19845,ANTIEMETICS AND ANTINAUSEANTS
bar,y15,x15,IQvia1:11976:72e988,IQvia1:11976:c19845,DRUGS FOR CONSTIPATION
bar,y17,x17,IQvia1:11976:b696ed,IQvia1:11976:c19845,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y19,x19,IQvia1:11976:fece59,IQvia1:11976:c19845,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
bar,y2,x2,IQvia1:11976:487fc2,IQvia1:11976:c19845,Gender
bar,y4,x4,IQvia1:11976:ec004e,IQvia1:11976:78b06e,Age
bar,y6,x6,IQvia1:11976:057206,IQvia1:11976:c19845,STOMATOLOGICAL PREPARATIONS
bar,y8,x8,IQvia1:11976:39f6a2,IQvia1:11976:c19845,DRUGS FOR ACID RELATED DISORDERS
bar,y10,x10,IQvia1:11976:1ba6dd,IQvia1:11976:c19845,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y12,x12,IQvia1:11976:c7dd04,IQvia1:11976:c19845,ANTIHYPERTENSIVES
bar,y14,x14,IQvia1:11976:ed5498,IQvia1:11976:c19845,ANTIEMETICS AND ANTINAUSEANTS
bar,y16,x16,IQvia1:11976:72e988,IQvia1:11976:c19845,DRUGS FOR CONSTIPATION
bar,y18,x18,IQvia1:11976:b696ed,IQvia1:11976:c19845,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y20,x20,IQvia1:11976:fece59,IQvia1:11976:c19845,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
