type,yaxis,xaxis,ysrc,line.width,xsrc,line.dash,mode,line.color,name
scatter,y1,x1,erasmocf.ufrgs:108:8b9416,1.5,erasmocf.ufrgs:108:e69800,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y1,x1,erasmocf.ufrgs:108:c2425e,1.5,erasmocf.ufrgs:108:e69800,solid,lines,"rgba (255, 127, 14, 1)",MA180
scatter,y1,x1,erasmocf.ufrgs:108:b68d51,1.5,erasmocf.ufrgs:108:e69800,solid,lines,"rgba (44, 160, 44, 1)",MA90
scatter,y1,x1,erasmocf.ufrgs:108:d87d24,1.5,erasmocf.ufrgs:108:e69800,solid,lines,"rgba (214, 39, 40, 1)",MA30
scatter,y1,x1,erasmocf.ufrgs:108:09ec4f,1.5,erasmocf.ufrgs:108:e69800,solid,lines,"rgba (148, 103, 189, 1)",MA15
scatter,y1,x1,erasmocf.ufrgs:108:4e2079,1.5,erasmocf.ufrgs:108:e69800,solid,lines,"rgba (140, 86, 75, 1)",MA7
scatter,y1,x1,erasmocf.ufrgs:108:4d2097,1.5,erasmocf.ufrgs:108:e69800,solid,lines,"rgba (227, 119, 194, 1)",MA1
scatter,y2,x1,erasmocf.ufrgs:108:fda278,1.5,erasmocf.ufrgs:108:e69800,solid,lines,"rgba (31, 119, 180, 1)",log_MA1/7
scatter,y2,x1,erasmocf.ufrgs:108:446dd2,1.5,erasmocf.ufrgs:108:e69800,solid,lines,"rgba (255, 127, 14, 1)",log_MA7/15
scatter,y2,x1,erasmocf.ufrgs:108:4dc260,1.5,erasmocf.ufrgs:108:e69800,solid,lines,"rgba (44, 160, 44, 1)",log_MA15/30
scatter,y3,x1,erasmocf.ufrgs:108:f587d7,1.5,erasmocf.ufrgs:108:2e5982,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y3,x1,erasmocf.ufrgs:108:a93f1d,1.5,erasmocf.ufrgs:108:2e5982,solid,lines,"rgba (255, 127, 14, 1)",MA30
scatter,y3,x1,erasmocf.ufrgs:108:85a169,1.5,erasmocf.ufrgs:108:2e5982,solid,lines,"rgba (44, 160, 44, 1)",MA15
scatter,y3,x1,erasmocf.ufrgs:108:e0c0c4,1.5,erasmocf.ufrgs:108:2e5982,solid,lines,"rgba (214, 39, 40, 1)",MA7
scatter,y3,x1,erasmocf.ufrgs:108:b016a0,1.5,erasmocf.ufrgs:108:2e5982,solid,lines,"rgba (148, 103, 189, 1)",MA1
