type,yaxis,xaxis,ysrc,line.width,xsrc,line.dash,mode,line.color,name
scatter,y1,x1,erasmocf.ufrgs:98:9e8db3,1.5,erasmocf.ufrgs:98:c46a50,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y1,x1,erasmocf.ufrgs:98:f5eade,1.5,erasmocf.ufrgs:98:c46a50,solid,lines,"rgba (255, 127, 14, 1)",MA180
scatter,y1,x1,erasmocf.ufrgs:98:39e1a1,1.5,erasmocf.ufrgs:98:c46a50,solid,lines,"rgba (44, 160, 44, 1)",MA90
scatter,y1,x1,erasmocf.ufrgs:98:70c5bf,1.5,erasmocf.ufrgs:98:c46a50,solid,lines,"rgba (214, 39, 40, 1)",MA30
scatter,y1,x1,erasmocf.ufrgs:98:10d5a6,1.5,erasmocf.ufrgs:98:c46a50,solid,lines,"rgba (148, 103, 189, 1)",MA15
scatter,y1,x1,erasmocf.ufrgs:98:956cc4,1.5,erasmocf.ufrgs:98:c46a50,solid,lines,"rgba (140, 86, 75, 1)",MA7
scatter,y1,x1,erasmocf.ufrgs:98:29de15,1.5,erasmocf.ufrgs:98:c46a50,solid,lines,"rgba (227, 119, 194, 1)",MA1
scatter,y2,x1,erasmocf.ufrgs:98:26fec4,1.5,erasmocf.ufrgs:98:c46a50,solid,lines,"rgba (31, 119, 180, 1)",log_MA1/7
scatter,y2,x1,erasmocf.ufrgs:98:c14e7d,1.5,erasmocf.ufrgs:98:c46a50,solid,lines,"rgba (255, 127, 14, 1)",log_MA7/15
scatter,y2,x1,erasmocf.ufrgs:98:7ab162,1.5,erasmocf.ufrgs:98:c46a50,solid,lines,"rgba (44, 160, 44, 1)",log_MA15/30
scatter,y3,x1,erasmocf.ufrgs:98:eb9fe7,1.5,erasmocf.ufrgs:98:d4f7f4,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y3,x1,erasmocf.ufrgs:98:6242b7,1.5,erasmocf.ufrgs:98:d4f7f4,solid,lines,"rgba (255, 127, 14, 1)",MA30
scatter,y3,x1,erasmocf.ufrgs:98:8d05f7,1.5,erasmocf.ufrgs:98:d4f7f4,solid,lines,"rgba (44, 160, 44, 1)",MA15
scatter,y3,x1,erasmocf.ufrgs:98:d042f1,1.5,erasmocf.ufrgs:98:d4f7f4,solid,lines,"rgba (214, 39, 40, 1)",MA7
scatter,y3,x1,erasmocf.ufrgs:98:8e1658,1.5,erasmocf.ufrgs:98:d4f7f4,solid,lines,"rgba (148, 103, 189, 1)",MA1
