type,yaxis,xaxis,ysrc,line.width,xsrc,line.dash,mode,line.color,name
scatter,y1,x1,erasmocf.ufrgs:114:8c8480,1.5,erasmocf.ufrgs:114:7ab957,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y1,x1,erasmocf.ufrgs:114:4eb2d9,1.5,erasmocf.ufrgs:114:7ab957,solid,lines,"rgba (255, 127, 14, 1)",MA180
scatter,y1,x1,erasmocf.ufrgs:114:968baa,1.5,erasmocf.ufrgs:114:7ab957,solid,lines,"rgba (44, 160, 44, 1)",MA90
scatter,y1,x1,erasmocf.ufrgs:114:b45f9a,1.5,erasmocf.ufrgs:114:7ab957,solid,lines,"rgba (214, 39, 40, 1)",MA30
scatter,y1,x1,erasmocf.ufrgs:114:dcdfb4,1.5,erasmocf.ufrgs:114:7ab957,solid,lines,"rgba (148, 103, 189, 1)",MA15
scatter,y1,x1,erasmocf.ufrgs:114:f74356,1.5,erasmocf.ufrgs:114:7ab957,solid,lines,"rgba (140, 86, 75, 1)",MA7
scatter,y1,x1,erasmocf.ufrgs:114:e6bddc,1.5,erasmocf.ufrgs:114:7ab957,solid,lines,"rgba (227, 119, 194, 1)",MA1
scatter,y2,x1,erasmocf.ufrgs:114:efb921,1.5,erasmocf.ufrgs:114:7ab957,solid,lines,"rgba (31, 119, 180, 1)",log_MA1/7
scatter,y2,x1,erasmocf.ufrgs:114:d677ab,1.5,erasmocf.ufrgs:114:7ab957,solid,lines,"rgba (255, 127, 14, 1)",log_MA7/15
scatter,y2,x1,erasmocf.ufrgs:114:2ca375,1.5,erasmocf.ufrgs:114:7ab957,solid,lines,"rgba (44, 160, 44, 1)",log_MA15/30
