type,yaxis,xaxis,ysrc,line.width,xsrc,line.dash,mode,line.color,name
scatter,y1,x1,erasmocf.ufrgs:106:80e77c,1.5,erasmocf.ufrgs:106:84a0db,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y1,x1,erasmocf.ufrgs:106:e55b90,1.5,erasmocf.ufrgs:106:84a0db,solid,lines,"rgba (255, 127, 14, 1)",MA180
scatter,y1,x1,erasmocf.ufrgs:106:1d3756,1.5,erasmocf.ufrgs:106:84a0db,solid,lines,"rgba (44, 160, 44, 1)",MA90
scatter,y1,x1,erasmocf.ufrgs:106:827c21,1.5,erasmocf.ufrgs:106:84a0db,solid,lines,"rgba (214, 39, 40, 1)",MA30
scatter,y1,x1,erasmocf.ufrgs:106:0a6f69,1.5,erasmocf.ufrgs:106:84a0db,solid,lines,"rgba (148, 103, 189, 1)",MA15
scatter,y1,x1,erasmocf.ufrgs:106:be914a,1.5,erasmocf.ufrgs:106:84a0db,solid,lines,"rgba (140, 86, 75, 1)",MA7
scatter,y1,x1,erasmocf.ufrgs:106:dcaf4e,1.5,erasmocf.ufrgs:106:84a0db,solid,lines,"rgba (227, 119, 194, 1)",MA1
scatter,y2,x1,erasmocf.ufrgs:106:2e6c91,1.5,erasmocf.ufrgs:106:84a0db,solid,lines,"rgba (31, 119, 180, 1)",log_MA1/7
scatter,y2,x1,erasmocf.ufrgs:106:6966ca,1.5,erasmocf.ufrgs:106:84a0db,solid,lines,"rgba (255, 127, 14, 1)",log_MA7/15
scatter,y2,x1,erasmocf.ufrgs:106:536b12,1.5,erasmocf.ufrgs:106:84a0db,solid,lines,"rgba (44, 160, 44, 1)",log_MA15/30
scatter,y3,x1,erasmocf.ufrgs:106:7ed136,1.5,erasmocf.ufrgs:106:687b59,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y3,x1,erasmocf.ufrgs:106:ce2013,1.5,erasmocf.ufrgs:106:687b59,solid,lines,"rgba (255, 127, 14, 1)",MA30
scatter,y3,x1,erasmocf.ufrgs:106:a68713,1.5,erasmocf.ufrgs:106:687b59,solid,lines,"rgba (44, 160, 44, 1)",MA15
scatter,y3,x1,erasmocf.ufrgs:106:aa9f78,1.5,erasmocf.ufrgs:106:687b59,solid,lines,"rgba (214, 39, 40, 1)",MA7
scatter,y3,x1,erasmocf.ufrgs:106:dc6fc0,1.5,erasmocf.ufrgs:106:687b59,solid,lines,"rgba (148, 103, 189, 1)",MA1
