type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:11980:65c884,IQvia1:11980:321b5b,Gender
bar,y3,x3,IQvia1:11980:a94428,IQvia1:11980:02f7f0,Age
bar,y5,x5,IQvia1:11980:3087c2,IQvia1:11980:005642,STOMATOLOGICAL PREPARATIONS
bar,y7,x7,IQvia1:11980:407d9e,IQvia1:11980:005642,DRUGS FOR ACID RELATED DISORDERS
bar,y9,x9,IQvia1:11980:2ec114,IQvia1:11980:005642,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y11,x11,IQvia1:11980:193189,IQvia1:11980:005642,ANTIHYPERTENSIVES
bar,y13,x13,IQvia1:11980:7aa1e5,IQvia1:11980:005642,ANTIEMETICS AND ANTINAUSEANTS
bar,y15,x15,IQvia1:11980:6b844e,IQvia1:11980:005642,DRUGS FOR CONSTIPATION
bar,y17,x17,IQvia1:11980:24b618,IQvia1:11980:005642,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y19,x19,IQvia1:11980:6df85e,IQvia1:11980:005642,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
bar,y2,x2,IQvia1:11980:65c884,IQvia1:11980:005642,Gender
bar,y4,x4,IQvia1:11980:a94428,IQvia1:11980:02f7f0,Age
bar,y6,x6,IQvia1:11980:3087c2,IQvia1:11980:005642,STOMATOLOGICAL PREPARATIONS
bar,y8,x8,IQvia1:11980:407d9e,IQvia1:11980:005642,DRUGS FOR ACID RELATED DISORDERS
bar,y10,x10,IQvia1:11980:2ec114,IQvia1:11980:005642,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y12,x12,IQvia1:11980:193189,IQvia1:11980:005642,ANTIHYPERTENSIVES
bar,y14,x14,IQvia1:11980:7aa1e5,IQvia1:11980:005642,ANTIEMETICS AND ANTINAUSEANTS
bar,y16,x16,IQvia1:11980:6b844e,IQvia1:11980:005642,DRUGS FOR CONSTIPATION
bar,y18,x18,IQvia1:11980:24b618,IQvia1:11980:005642,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y20,x20,IQvia1:11980:6df85e,IQvia1:11980:005642,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
