type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12456:fcac16,IQvia1:12456:f912ad,GENDER
bar,y3,x3,IQvia1:12456:8036d3,IQvia1:12456:86c5e3,AGEGROUP
bar,y5,x5,IQvia1:12456:77b07a,IQvia1:12456:ff39e5,HEPATITIS BC
bar,y7,x7,IQvia1:12456:e7442b,IQvia1:12456:ff39e5,TUBERCULOSIS
bar,y9,x9,IQvia1:12456:1b753e,IQvia1:12456:ff39e5,HIV
bar,y11,x11,IQvia1:12456:b63c0f,IQvia1:12456:ff39e5,TACROLIMUS
bar,y13,x13,IQvia1:12456:5ebec3,IQvia1:12456:ff39e5,AZATHIOPRINE
bar,y15,x15,IQvia1:12456:d8def2,IQvia1:12456:ff39e5,TUMOUR NECROSIS FACTOR PRODUCTS
bar,y2,x2,IQvia1:12456:fcac16,IQvia1:12456:f912ad,GENDER
bar,y4,x4,IQvia1:12456:8036d3,IQvia1:12456:86c5e3,AGEGROUP
bar,y6,x6,IQvia1:12456:77b07a,IQvia1:12456:ff39e5,HEPATITIS BC
bar,y8,x8,IQvia1:12456:e7442b,IQvia1:12456:ff39e5,TUBERCULOSIS
bar,y10,x10,IQvia1:12456:1b753e,IQvia1:12456:ff39e5,HIV
bar,y12,x12,IQvia1:12456:b63c0f,IQvia1:12456:ff39e5,TACROLIMUS
bar,y14,x14,IQvia1:12456:5ebec3,IQvia1:12456:ff39e5,AZATHIOPRINE
bar,y16,x16,IQvia1:12456:d8def2,IQvia1:12456:ff39e5,TUMOUR NECROSIS FACTOR PRODUCTS
