type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12412:f212d2,IQvia1:12412:f005bf,Gender
bar,y3,x3,IQvia1:12412:e95594,IQvia1:12412:10301c,Age
bar,y5,x5,IQvia1:12412:fa229f,IQvia1:12412:ed1d75,STOMATOLOGICAL PREPARATIONS
bar,y7,x7,IQvia1:12412:a12338,IQvia1:12412:ed1d75,DRUGS FOR ACID RELATED DISORDERS
bar,y9,x9,IQvia1:12412:0a007d,IQvia1:12412:ed1d75,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y11,x11,IQvia1:12412:f7ac02,IQvia1:12412:ed1d75,ANTIHYPERTENSIVES
bar,y13,x13,IQvia1:12412:68a6d6,IQvia1:12412:ed1d75,ANTIEMETICS AND ANTINAUSEANTS
bar,y15,x15,IQvia1:12412:6dd62d,IQvia1:12412:ed1d75,DRUGS FOR CONSTIPATION
bar,y17,x17,IQvia1:12412:aeddf9,IQvia1:12412:ed1d75,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y19,x19,IQvia1:12412:fc25a6,IQvia1:12412:ed1d75,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
bar,y2,x2,IQvia1:12412:f212d2,IQvia1:12412:ed1d75,Gender
bar,y4,x4,IQvia1:12412:e95594,IQvia1:12412:10301c,Age
bar,y6,x6,IQvia1:12412:fa229f,IQvia1:12412:ed1d75,STOMATOLOGICAL PREPARATIONS
bar,y8,x8,IQvia1:12412:a12338,IQvia1:12412:ed1d75,DRUGS FOR ACID RELATED DISORDERS
bar,y10,x10,IQvia1:12412:0a007d,IQvia1:12412:ed1d75,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y12,x12,IQvia1:12412:f7ac02,IQvia1:12412:ed1d75,ANTIHYPERTENSIVES
bar,y14,x14,IQvia1:12412:68a6d6,IQvia1:12412:ed1d75,ANTIEMETICS AND ANTINAUSEANTS
bar,y16,x16,IQvia1:12412:6dd62d,IQvia1:12412:ed1d75,DRUGS FOR CONSTIPATION
bar,y18,x18,IQvia1:12412:aeddf9,IQvia1:12412:ed1d75,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y20,x20,IQvia1:12412:fc25a6,IQvia1:12412:ed1d75,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
