marker.size,hoverinfo,marker.color,ysrc,showlegend,xsrc,name
,,white,thedgcgroup:2465:818463,,thedgcgroup:2465:3408df,
,,white,thedgcgroup:2465:818463,,thedgcgroup:2465:ce49e0,
,,white,thedgcgroup:2465:818463,,thedgcgroup:2465:094ca0,
,,white,thedgcgroup:2465:980f2b,,thedgcgroup:2465:824fdb,
,,white,thedgcgroup:2465:980f2b,,thedgcgroup:2465:9b1590,
,,white,thedgcgroup:2465:980f2b,,thedgcgroup:2465:103629,
,,white,thedgcgroup:2465:980f2b,,thedgcgroup:2465:e2c69d,
,,white,thedgcgroup:2465:980f2b,,thedgcgroup:2465:faa8ce,
,,white,thedgcgroup:2465:980f2b,,thedgcgroup:2465:654a20,
,,white,thedgcgroup:2465:980f2b,,thedgcgroup:2465:420657,
,,white,thedgcgroup:2465:980f2b,,thedgcgroup:2465:7ad671,
,,white,thedgcgroup:2465:6224fe,,thedgcgroup:2465:824fdb,
,,white,thedgcgroup:2465:93ea29,,thedgcgroup:2465:824fdb,
,,white,thedgcgroup:2465:49731a,,thedgcgroup:2465:103629,
,,white,thedgcgroup:2465:55bc4e,,thedgcgroup:2465:1a77c8,
,,white,thedgcgroup:2465:7f018a,,thedgcgroup:2465:654a20,
,,white,thedgcgroup:2465:619899,,thedgcgroup:2465:420657,
,,white,thedgcgroup:2465:1d8c35,,thedgcgroup:2465:824fdb,
,,white,thedgcgroup:2465:609afb,,thedgcgroup:2465:e2c69d,
,,white,thedgcgroup:2465:a8a863,,thedgcgroup:2465:654a20,
,,white,thedgcgroup:2465:b95dee,,thedgcgroup:2465:47aada,
,,white,thedgcgroup:2465:68fb01,,thedgcgroup:2465:8a15e0,
,,white,thedgcgroup:2465:344ac6,,thedgcgroup:2465:103629,
1,none,"rgb(170, 128, 128)",thedgcgroup:2465:344ac6,True,thedgcgroup:2465:9523b3,ACA Roadside
1,none,"rgb(85, 128, 128)",thedgcgroup:2465:68fb01,True,thedgcgroup:2465:9523b3,ACA Stores
1,none,"rgb(0, 128, 128)",thedgcgroup:2465:b95dee,True,thedgcgroup:2465:9523b3,ACMO
