type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12462:4f27e9,IQvia1:12462:d20fec,GENDER
bar,y3,x3,IQvia1:12462:e0db47,IQvia1:12462:9ebcbf,AGEGROUP
bar,y5,x5,IQvia1:12462:9945d8,IQvia1:12462:66ceec,HEPATITIS BC
bar,y7,x7,IQvia1:12462:98f6a2,IQvia1:12462:66ceec,TUBERCULOSIS
bar,y9,x9,IQvia1:12462:a3deac,IQvia1:12462:66ceec,HIV
bar,y11,x11,IQvia1:12462:1f2243,IQvia1:12462:66ceec,TACROLIMUS
bar,y13,x13,IQvia1:12462:7ee912,IQvia1:12462:66ceec,AZATHIOPRINE
bar,y15,x15,IQvia1:12462:39978a,IQvia1:12462:66ceec,TUMOUR NECROSIS FACTOR PRODUCTS
bar,y2,x2,IQvia1:12462:4f27e9,IQvia1:12462:7cfebc,GENDER
bar,y4,x4,IQvia1:12462:e0db47,IQvia1:12462:e1f9ef,AGEGROUP
bar,y6,x6,IQvia1:12462:9945d8,IQvia1:12462:66ceec,HEPATITIS BC
bar,y8,x8,IQvia1:12462:98f6a2,IQvia1:12462:66ceec,TUBERCULOSIS
bar,y10,x10,IQvia1:12462:a3deac,IQvia1:12462:66ceec,HIV
bar,y12,x12,IQvia1:12462:1f2243,IQvia1:12462:66ceec,TACROLIMUS
bar,y14,x14,IQvia1:12462:7ee912,IQvia1:12462:66ceec,AZATHIOPRINE
bar,y16,x16,IQvia1:12462:39978a,IQvia1:12462:66ceec,TUMOUR NECROSIS FACTOR PRODUCTS
