type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12420:c9517a,IQvia1:12420:4a063e,Gender
bar,y3,x3,IQvia1:12420:d9b9d2,IQvia1:12420:ceb177,Age
bar,y5,x5,IQvia1:12420:963e4f,IQvia1:12420:ab121e,STOMATOLOGICAL PREPARATIONS
bar,y7,x7,IQvia1:12420:b16f9c,IQvia1:12420:ab121e,DRUGS FOR ACID RELATED DISORDERS
bar,y9,x9,IQvia1:12420:2daa91,IQvia1:12420:ab121e,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y11,x11,IQvia1:12420:afb75e,IQvia1:12420:ab121e,ANTIHYPERTENSIVES
bar,y13,x13,IQvia1:12420:08c5c2,IQvia1:12420:ab121e,ANTIEMETICS AND ANTINAUSEANTS
bar,y15,x15,IQvia1:12420:ae84cf,IQvia1:12420:ab121e,DRUGS FOR CONSTIPATION
bar,y17,x17,IQvia1:12420:447e2e,IQvia1:12420:ab121e,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y19,x19,IQvia1:12420:2880fe,IQvia1:12420:ab121e,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
bar,y2,x2,IQvia1:12420:c9517a,IQvia1:12420:ab121e,Gender
bar,y4,x4,IQvia1:12420:d9b9d2,IQvia1:12420:c2ef6a,Age
bar,y6,x6,IQvia1:12420:963e4f,IQvia1:12420:ab121e,STOMATOLOGICAL PREPARATIONS
bar,y8,x8,IQvia1:12420:b16f9c,IQvia1:12420:ab121e,DRUGS FOR ACID RELATED DISORDERS
bar,y10,x10,IQvia1:12420:2daa91,IQvia1:12420:ab121e,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y12,x12,IQvia1:12420:afb75e,IQvia1:12420:ab121e,ANTIHYPERTENSIVES
bar,y14,x14,IQvia1:12420:08c5c2,IQvia1:12420:ab121e,ANTIEMETICS AND ANTINAUSEANTS
bar,y16,x16,IQvia1:12420:ae84cf,IQvia1:12420:ab121e,DRUGS FOR CONSTIPATION
bar,y18,x18,IQvia1:12420:447e2e,IQvia1:12420:ab121e,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y20,x20,IQvia1:12420:2880fe,IQvia1:12420:ab121e,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
