type,ysrc,jitter,boxpoints,name,boxmean,pointpos
box,dudenz:164:f58599,0.3,all,2day<br>6time<br>ForecastIO<br>Temperature<br>Mean:0.29<br>STD:2.15,sd,-1.8
box,dudenz:164:9c5f71,0.3,all,2day<br>6time<br>ForecastIO<br>Rain<br>Mean:0.02<br>STD:0.21,sd,-1.8
box,dudenz:164:59d9fe,0.3,all,2day<br>6time<br>ForecastIO<br>Wind<br>Mean:-0.17<br>STD:1.43,sd,-1.8
box,dudenz:164:fdad3c,0.3,all,2day<br>11time<br>ForecastIO<br>Temperature<br>Mean:1.72<br>STD:1.95,sd,-1.8
box,dudenz:164:f6f31c,0.3,all,2day<br>11time<br>ForecastIO<br>Rain<br>Mean:0.00<br>STD:0.12,sd,-1.8
box,dudenz:164:c9da20,0.3,all,2day<br>11time<br>ForecastIO<br>Wind<br>Mean:-0.28<br>STD:1.61,sd,-1.8
box,dudenz:164:04c166,0.3,all,2day<br>17time<br>ForecastIO<br>Temperature<br>Mean:-1.43<br>STD:2.25,sd,-1.8
box,dudenz:164:4dc965,0.3,all,2day<br>17time<br>ForecastIO<br>Rain<br>Mean:0.00<br>STD:0.10,sd,-1.8
box,dudenz:164:592dc0,0.3,all,2day<br>17time<br>ForecastIO<br>Wind<br>Mean:-0.42<br>STD:1.55,sd,-1.8
box,dudenz:164:8b4f09,0.3,all,2day<br>23time<br>ForecastIO<br>Temperature<br>Mean:1.00<br>STD:0.00,sd,-1.8
box,dudenz:164:1e7c01,0.3,all,2day<br>23time<br>ForecastIO<br>Rain<br>Mean:0.00<br>STD:0.00,sd,-1.8
box,dudenz:164:a02b37,0.3,all,2day<br>23time<br>ForecastIO<br>Wind<br>Mean:2.00<br>STD:0.00,sd,-1.8
