type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:11868:59898e,IQvia1:11868:299cd4,Gender
bar,y3,x3,IQvia1:11868:49d60f,IQvia1:11868:a5e9e6,AgeAtIndexDate
bar,y5,x5,IQvia1:11868:a6802c,IQvia1:11868:5f7f6d,YearOfIndexDate
bar,y7,x7,IQvia1:11868:b61b61,IQvia1:11868:26ef2a,Duration of Therapy
bar,y9,x9,IQvia1:11868:c8528d,IQvia1:11868:c30405,asthma_ndc
bar,y11,x11,IQvia1:11868:11d2f1,IQvia1:11868:c30405,ALL PSYCHIATRIC EVENTS
bar,y13,x13,IQvia1:11868:596b56,IQvia1:11868:c30405,SEXUAL MATURITY DISORDERS
bar,y15,x15,IQvia1:11868:366b21,IQvia1:11868:c30405,Dexamphetamine
bar,y17,x17,IQvia1:11868:b3db5d,IQvia1:11868:c30405,Myocardial Infarction
bar,y2,x2,IQvia1:11868:59898e,IQvia1:11868:4c4900,Gender
bar,y4,x4,IQvia1:11868:49d60f,IQvia1:11868:a5e9e6,AgeAtIndexDate
bar,y6,x6,IQvia1:11868:a6802c,IQvia1:11868:5f7f6d,YearOfIndexDate
bar,y8,x8,IQvia1:11868:b61b61,IQvia1:11868:26ef2a,Duration of Therapy
bar,y10,x10,IQvia1:11868:c8528d,IQvia1:11868:c30405,asthma_ndc
bar,y12,x12,IQvia1:11868:11d2f1,IQvia1:11868:c30405,ALL PSYCHIATRIC EVENTS
bar,y14,x14,IQvia1:11868:596b56,IQvia1:11868:c30405,SEXUAL MATURITY DISORDERS
bar,y16,x16,IQvia1:11868:366b21,IQvia1:11868:c30405,Dexamphetamine
bar,y18,x18,IQvia1:11868:b3db5d,IQvia1:11868:c30405,Myocardial Infarction
