type,yaxis,xaxis,ysrc,xsrc,name
bar,y1,x1,IQvia1:12100:872e74,IQvia1:12100:120a38,Gender
bar,y2,x2,IQvia1:12100:cf1c17,IQvia1:12100:24d499,Age
bar,y3,x3,IQvia1:12100:bc2d2c,IQvia1:12100:cc65f0,STOMATOLOGICAL PREPARATIONS
bar,y4,x4,IQvia1:12100:56eba3,IQvia1:12100:cc65f0,DRUGS FOR ACID RELATED DISORDERS
bar,y5,x5,IQvia1:12100:311603,IQvia1:12100:cc65f0,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
bar,y6,x6,IQvia1:12100:fd475b,IQvia1:12100:cc65f0,ANTIHYPERTENSIVES
bar,y7,x7,IQvia1:12100:91f7a3,IQvia1:12100:cc65f0,ANTIEMETICS AND ANTINAUSEANTS
bar,y8,x8,IQvia1:12100:0b4e01,IQvia1:12100:cc65f0,DRUGS FOR CONSTIPATION
bar,y9,x9,IQvia1:12100:e3f15e,IQvia1:12100:cc65f0,ANTIDIARRHEALS; INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
bar,y10,x10,IQvia1:12100:3f021b,IQvia1:12100:cc65f0,ANTIOBESITY PREPARATIONS; EXCL. DIET PRODUCTS
