type,yaxis,xaxis,ysrc,line.width,xsrc,line.dash,mode,line.color,name
scatter,y1,x1,erasmocf.ufrgs:100:6ed2d9,1.5,erasmocf.ufrgs:100:0897ae,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y1,x1,erasmocf.ufrgs:100:fbcaae,1.5,erasmocf.ufrgs:100:0897ae,solid,lines,"rgba (255, 127, 14, 1)",MA180
scatter,y1,x1,erasmocf.ufrgs:100:a3d537,1.5,erasmocf.ufrgs:100:0897ae,solid,lines,"rgba (44, 160, 44, 1)",MA90
scatter,y1,x1,erasmocf.ufrgs:100:86c9d4,1.5,erasmocf.ufrgs:100:0897ae,solid,lines,"rgba (214, 39, 40, 1)",MA30
scatter,y1,x1,erasmocf.ufrgs:100:6d2363,1.5,erasmocf.ufrgs:100:0897ae,solid,lines,"rgba (148, 103, 189, 1)",MA15
scatter,y1,x1,erasmocf.ufrgs:100:86a2ab,1.5,erasmocf.ufrgs:100:0897ae,solid,lines,"rgba (140, 86, 75, 1)",MA7
scatter,y1,x1,erasmocf.ufrgs:100:e8822a,1.5,erasmocf.ufrgs:100:0897ae,solid,lines,"rgba (227, 119, 194, 1)",MA1
scatter,y2,x1,erasmocf.ufrgs:100:9823fd,1.5,erasmocf.ufrgs:100:0897ae,solid,lines,"rgba (31, 119, 180, 1)",log_MA1/7
scatter,y2,x1,erasmocf.ufrgs:100:004691,1.5,erasmocf.ufrgs:100:0897ae,solid,lines,"rgba (255, 127, 14, 1)",log_MA7/15
scatter,y2,x1,erasmocf.ufrgs:100:849fc9,1.5,erasmocf.ufrgs:100:0897ae,solid,lines,"rgba (44, 160, 44, 1)",log_MA15/30
