line.color,type,marker.color,uid,ysrc,marker.line.color,fillcolor,xsrc,showlegend,name
,box,"rgb(31, 119, 180)",,adioses:112:330a94,,"rgb(255,255,255)",,False,11/01/18
,box,"rgb(31, 119, 180)",,adioses:112:7df3da,,"rgb(255,255,255)",,False,12/01/18
,box,"rgb(31, 119, 180)",,adioses:112:8de075,,"rgb(255,255,255)",,False,13/01/18
,box,"rgb(31, 119, 180)",,adioses:112:4ee4a7,,"rgb(255,255,255)",,False,14/01/18
,box,"rgb(31, 119, 180)",,adioses:112:1d11fa,,"rgb(255,255,255)",,False,15/01/18
,box,"rgb(31, 119, 180)",,adioses:112:1863b8,,"rgb(255,255,255)",,False,16/01/18
,box,"rgb(31, 119, 180)",,adioses:112:b4b10a,,"rgb(255,255,255)",,False,17/01/18
,box,"rgb(31, 119, 180)",,adioses:112:271b58,,"rgb(255,255,255)",,False,18/01/18
,box,"rgb(31, 119, 180)",,adioses:112:65c0c4,,"rgb(255,255,255)",,False,19/01/18
,box,"rgb(31, 119, 180)",,adioses:112:4342d9,,"rgb(255,255,255)",,False,20/01/18
,box,"rgb(31, 119, 180)",,adioses:112:0a0f77,,"rgb(255,255,255)",,False,21/01/18
"rgb(31, 119, 180)",scatter,,0077fc,adioses:112:944114,"rgb(31, 119, 180)",,adioses:112:94bcba,,Ultima Corrida
